coverage_name_raw,insurer,source_page,coverage_code,coverage_name_canonical,mapping_status,match_type
상해사망·후유장해(20-100%),db,4,,,unmatched,none
보험료납입면제대상보장(11대사유),db,4,,,unmatched,none
상해사망,db,4,A1300,상해사망,matched,normalized_alias
상해후유장해(3-100%),db,4,A3300_1,상해후유장해(3-100%),matched,alias
질병사망,db,4,A1100,질병사망,matched,normalized_alias
상해수술비(동일사고당1회지급),db,4,A5300,상해수술비,matched,alias
골절진단비(치아제외),db,4,A4301_1,골절진단비(치아파절제외),matched,alias
계속받는암진단비(유사암,대장점막내암및전립선암제외),db,,,unmatched,none
암진단비Ⅱ(유사암제외),db,4,A4200_1,암진단비(유사암제외),matched,alias
유사암진단비Ⅱ(1년감액지급),db,4,A4210,유사암진단비,matched,alias
고액치료비암진단비,db,4,A4209,고액암진단비,matched,normalized_alias
암수술비(유사암제외)(최초1회한),db,4,A5200,암수술비(유사암제외),matched,alias
유사암수술비,db,4,A5298_001,유사암수술비,matched,normalized_alias
다빈치로봇암수술비(연간1회한,특정암),db,,,unmatched,none
다빈치로봇암수술비(연간1회한,특정암제외),db,,,unmatched,none
표적항암약물허가치료비(최초1회한)(갱신형),db,4,A9619_1,표적항암약물허가치료비(최초1회한),matched,alias
항암방사선약물치료비(유사암포함),db,4,A9617_1,항암방사선약물치료비(최초1회한),matched,alias
암직접치료입원일당Ⅱ(요양병원제외)(1일이상180일한도),db,4,A6200,"암직접치료입원일당(1-180,요양병원제외)",matched,alias
뇌졸중진단비,db,4,A4103,뇌졸중진단비,matched,normalized_alias
뇌출혈진단비,db,4,A4102,뇌출혈진단비,matched,normalized_alias
뇌혈관질환진단비,db,4,A4101,뇌혈관질환진단비,matched,normalized_alias
뇌혈관질환수술비,db,4,A5104_1,뇌혈관질환수술비,matched,normalized_alias
허혈심장질환진단비,db,4,A4105,허혈성심장질환진단비,matched,normalized_alias
심근병증진단비,db,4,A4104_1,심장질환진단비,matched,normalized_alias
주요심장염증질환진단비,db,4,A4104_1,심장질환진단비,matched,normalized_alias
심장판막협착증진단비(대동맥판막),db,4,A4104_1,심장질환진단비,matched,alias
허혈심장질환수술비,db,4,A5107_1,허혈성심장질환수술비,matched,normalized_alias
혈전용해치료비Ⅲ(최초1회한),db,4,A9640_1,혈전용해치료비,matched,alias
질병수술비(매회지급),db,4,A5100,질병수술비,matched,alias
상해입원일당(1일이상180일한도),db,4,A6300_1,상해입원비,matched,alias
질병입원일당(1일이상180일한도),db,4,A6100_1,질병입원비,matched,alias
