coverage_name_raw,top_hits,suggested_canonical_code
보험료 납입면제(Ⅱ),"약관/p8: 무배당 계약자에게 배당을 하지 않는 상품입니다.
종합보험 상해, 질병, 비용, 배상책임 등의 위험을 보장하는 상품입니다.
납입면제지원 선택형 보장보험료납입면제지원 특별약관을 선택할...",
뇌출혈 진단비(재진단형),약관/p23: 1-16. 중증화상및부식진단비 특별약관·············································································10...,
뇌혈관질환 치료비(최초 1회한),"약관/p28: 암(특정유사암포함)항암세기조절방사선치료비(1회한)(갱신형)  특별약관·············391
2-116. 2대질병진단후특정치료비(진단후10년,연간1회한) 특별약관·······...",
급성심근경색증 진단비,"약관/p25: 한화 더건강한 한아름종합보험 무배당2504
2-22. 허혈성심장질환진단비, 허혈성심장질환진단비(갱신형) 특별약관···························208
2-23. 급...",
상해 입원일당,"약관/p10: 허혈성심장질환 진단비
최초 1회에 한하여 보장
상해입원특약
상해입원비
180일 한도로 보장...",
질병 입원일당,"약관/p29: 2-137. 갑상선기능항진증치료비(1회한,급여) 특별약관····················································428
2-138. 독감(인플루...",
상해 통원치료비,,
질병 통원치료비(요양병원 제외),,
골절 진단비,"약관/p23: 1-10. 골절(치아파절제외)진단비 특별약관·······································································102
1...",
깁스치료비,"약관/p30: 3-31. 상하지(손,발제외)절골술및체내금속고정수술비(연간1회한,급여) 특별약관 ···········536
3-32. 응급실내원치료비(응급) 특별약관·················...",
심장판막증 수술비(최초 1회한),,
대동맥류 수술비(최초 1회한),,
뇌혈관질환(1회당 180일한) 입원일당,,
허혈성심장질환(1회당 180일한) 입원일당,,
