coverage_name_raw,insurer,source_page,coverage_code,coverage_name_canonical,mapping_status,match_type
일반상해후유장해(80%이상),heungkuk,7,,,unmatched,none
질병후유장해(80%이상)(감액없음),heungkuk,7,,,unmatched,none
일반상해사망,heungkuk,7,A1300,상해사망,matched,normalized_alias
질병사망(감액없음),heungkuk,7,A1100,질병사망,matched,alias
일반상해후유장해(3~100%),heungkuk,7,A3300_1,상해후유장해(3-100%),matched,alias
골절진단비(치아파절제외),heungkuk,7,A4301_1,골절진단비(치아파절제외),matched,exact
화상진단비,heungkuk,7,A4302,화상진단비,matched,normalized_alias
뇌졸중진단비,heungkuk,7,A4103,뇌졸중진단비,matched,normalized_alias
허혈성심질환진단비,heungkuk,7,A4105,허혈성심장질환진단비,matched,normalized_alias
주요심장염증질환진단비,heungkuk,7,A4104_1,심장질환진단비,matched,normalized_alias
뇌혈관질환진단비,heungkuk,7,A4101,뇌혈관질환진단비,matched,normalized_alias
심장판막협착증(대동맥판막)진단비,heungkuk,7,A4104_1,심장질환진단비,matched,alias
뇌출혈진단비,heungkuk,7,A4102,뇌출혈진단비,matched,normalized_alias
특정심혈관질환(기타심장부정맥)진단비Ⅲ,heungkuk,7,A4104_1,심장질환진단비,matched,normalized_alias
특정심혈관질환(기타심장부정맥제외)진단비Ⅲ,heungkuk,7,A4104_1,심장질환진단비,matched,normalized_alias
심근병증(허혈성제외)진단비,heungkuk,7,A4104_1,심장질환진단비,matched,alias
뇌졸중 혈전용해치료비(1회한),heungkuk,7,A9640_1,혈전용해치료비,matched,alias
특정허혈성심질환 혈전용해치료비(1회한),heungkuk,7,A9640_1,혈전용해치료비,matched,alias
암진단비(유사암제외),heungkuk,7,A4200_1,암진단비(유사암제외),matched,exact
유사암진단비,heungkuk,7,A4210,유사암진단비,matched,normalized
재진단암Ⅲ진단비,heungkuk,7,A4299_1,재진단암진단비,matched,alias
고액치료비암진단비,heungkuk,7,A4209,고액암진단비,matched,normalized_alias
항암방사선약물치료비,heungkuk,8,A9617_1,항암방사선약물치료비(최초1회한),matched,normalized_alias
[갱신형]표적항암약물허가치료비Ⅱ(갱신형_10년),heungkuk,8,,,unmatched,none
[갱신형]카티(CAR-T) 항암약물허가치료비(연간1회한)(갱신형_10년),heungkuk,8,,,unmatched,none
암직접치료입원비(요양병원제외)(1일-180일),heungkuk,8,A6200,"암직접치료입원일당(1-180,요양병원제외)",matched,alias
암수술비(유사암제외),heungkuk,8,A5200,암수술비(유사암제외),matched,exact
유사암수술비,heungkuk,8,A5298_001,유사암수술비,matched,normalized_alias
"[갱신형]다빈치및레보아이로봇 암수술비(갑상선암 및 전립선암 제외)(최초1회한)(갱
신형_10년)",heungkuk,8,,,unmatched,none
"[갱신형]다빈치및레보아이로봇 암수술비(갑상선암 및 전립선암)(최초1회한)(갱신형
_10년)",heungkuk,8,,,unmatched,none
일반상해입원비(1일-180일),heungkuk,8,A6300_1,상해입원비,matched,alias
질병입원비(1일-180일),heungkuk,8,A6100_1,질병입원비,matched,alias
상해수술비,heungkuk,8,A5300,상해수술비,matched,normalized
질병수술비,heungkuk,8,A5100,질병수술비,matched,normalized
뇌혈관질환수술비,heungkuk,8,A5104_1,뇌혈관질환수술비,matched,normalized_alias
허혈성심질환수술비,heungkuk,8,A5107_1,허혈성심장질환수술비,matched,normalized_alias
