coverage_name_raw,insurer,source_page,coverage_code,coverage_name_canonical,mapping_status,match_type
기본계약(상해사망),hyundai,2,A1300,상해사망,matched,alias
기본계약(상해후유장해),hyundai,2,A3300_1,상해후유장해(3-100%),matched,alias
골절진단(치아파절제외)담보,hyundai,2,A4301_1,골절진단비(치아파절제외),matched,alias
화상진단담보,hyundai,2,A4302,화상진단비,matched,normalized_alias
상해입원일당(1-180일)담보,hyundai,2,A6300_1,상해입원비,matched,alias
상해수술담보,hyundai,2,A5300,상해수술비,matched,normalized_alias
질병사망담보,hyundai,2,A1100,질병사망,matched,normalized_alias
암진단Ⅱ(유사암제외)담보,hyundai,2,A4200_1,암진단비(유사암제외),matched,alias
유사암진단Ⅱ담보,hyundai,2,,,unmatched,none
고액치료비암진단담보,hyundai,2,A4209,고액암진단비,matched,normalized_alias
재진단암진단Ⅱ담보,hyundai,2,A4299_1,재진단암진단비,matched,alias
뇌출혈진단담보,hyundai,2,A4102,뇌출혈진단비,matched,normalized_alias
뇌졸중진단담보,hyundai,2,A4103,뇌졸중진단비,matched,normalized_alias
뇌혈관질환진단담보,hyundai,2,A4101,뇌혈관질환진단비,matched,normalized_alias
허혈심장질환진단담보,hyundai,2,A4105,허혈성심장질환진단비,matched,normalized_alias
"심혈관질환(특정Ⅰ,I49제외)진단담보",hyundai,2,,,unmatched,none
심혈관질환(I49)진단담보,hyundai,2,,,unmatched,none
심혈관질환(주요심장염증)진단담보,hyundai,2,,,unmatched,none
심혈관질환(특정Ⅱ)진단담보,hyundai,2,A4104_1,심장질환진단비,matched,alias
심혈관질환(특정2대)진단담보,hyundai,2,,,unmatched,none
심혈관질환(대동맥판막협착증)진단담보,hyundai,2,,,unmatched,none
심혈관질환(심근병증)진단담보,hyundai,2,,,unmatched,none
항암약물치료Ⅱ담보,hyundai,2,,,unmatched,none
항암방사선치료Ⅱ담보,hyundai,2,A9617_1,항암방사선약물치료비(최초1회한),matched,alias
표적항암약물허가치료(갱신형)담보,hyundai,2,A9619_1,표적항암약물허가치료비(최초1회한),matched,alias
카티(CAR-T)항암약물허가치료(연간1회한)(갱신형)담보,hyundai,2,A9620_1,카티(CAR-T)항암약물허가치료비,matched,alias
질병입원일당(1-180일)담보,hyundai,3,,,unmatched,none
"암직접치료입원일당(1-180일,요양병원제외)담보",hyundai,3,A6200,"암직접치료입원일당(1-180,요양병원제외)",matched,alias
질병수술담보,hyundai,3,A5100,질병수술비,matched,normalized_alias
암수술담보,hyundai,3,A5200,암수술비(유사암제외),matched,normalized_alias
뇌혈관질환수술담보,hyundai,3,A5104_1,뇌혈관질환수술비,matched,normalized_alias
허혈심장질환수술담보,hyundai,3,A5107_1,허혈성심장질환수술비,matched,normalized_alias
혈전용해치료비Ⅱ(최초1회한)(뇌졸중)담보,hyundai,3,A9640_1,혈전용해치료비,matched,alias
혈전용해치료비Ⅱ(최초1회한)(특정심장질환)담보,hyundai,3,,,unmatched,none
로봇암수술(다빈치및레보아이)(갑상선암및전립선암제외)(최초1회한)(갱신형)담보,hyundai,7,A9630_1,다빈치로봇암수술비,matched,alias
로봇암수술(다빈치및레보아이)(갑상선암및전립선암)(최초1회한)(갱신형)담보,hyundai,7,,,unmatched,none
