coverage_name_raw,insurer,source_page,coverage_name_search_key
일반상해사망(기본),kb,2,일반상해사망(기본)
일반상해후유장해(20~100%)(기본),kb,2,일반상해후유장해(20~100%)(기본)
보험료납입면제대상보장(8대기본),kb,2,보험료납입면제대상보장(8대기본)
일반상해후유장해(3%~100%),kb,2,일반상해후유장해(3%~100%)
질병사망,kb,2,질병사망
암진단비(유사암제외),kb,2,암진단비(유사암제외)
유사암진단비,kb,2,유사암진단비
재진단암진단비,kb,2,재진단암진단비
뇌혈관질환진단비,kb,2,뇌혈관질환진단비
뇌졸중진단비,kb,2,뇌졸중진단비
뇌출혈진단비,kb,2,뇌출혈진단비
심장질환(특정Ⅰ),kb,2,심장질환(특정Ⅰ)
심장질환(특정Ⅱ),kb,2,심장질환(특정Ⅱ)
허혈성심장질환진단비,kb,2,허혈성심장질환진단비
부정맥질환(Ⅰ49)진단비,kb,2,부정맥질환(Ⅰ49)진단비
심근병증진단비,kb,2,심근병증진단비
심장판막협착증(대동맥판막)진단비,kb,2,심장판막협착증(대동맥판막)진단비
골절진단비Ⅱ(치아파절제외),kb,2,골절진단비Ⅱ(치아파절제외)
화상진단비,kb,2,화상진단비
질병수술비,kb,2,질병수술비
암수술비(유사암제외),kb,2,암수술비(유사암제외)
유사암수술비,kb,2,유사암수술비
다빈치로봇,kb,2,다빈치로봇
뇌혈관질환수술비,kb,3,뇌혈관질환수술비
허혈성심장질환수술비,kb,3,허혈성심장질환수술비
상해수술비,kb,3,상해수술비
항암방사선치료비,kb,3,항암방사선치료비
항암약물치료비,kb,3,항암약물치료비
표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ(갱신형),kb,3,표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ(갱신형)
표적항암약물허가치료비(림프종·백혈병,kb,3,표적항암약물허가치료비(림프종·백혈병
특정항암호르몬약물허가치료비(최초1회한)Ⅱ(갱신형),kb,3,특정항암호르몬약물허가치료비(최초1회한)Ⅱ(갱신형)
카티(CAR-T)항암약물허가치료비(연간1회한)(갱신형),kb,3,카티(CAR-T)항암약물허가치료비(연간1회한)(갱신형)
혈전용해치료비Ⅱ(최초1회한)(특정심장질환),kb,3,혈전용해치료비Ⅱ(최초1회한)(특정심장질환)
혈전용해치료비Ⅱ(최초1회한)(뇌졸중),kb,3,혈전용해치료비Ⅱ(최초1회한)(뇌졸중)
질병입원일당(1일이상),kb,3,질병입원일당(1일이상)
상해입원일당(1일이상)Ⅱ,kb,3,상해입원일당(1일이상)Ⅱ
"암직접치료입원일당(요양제외,1일이상180일한도)",kb,3,"암직접치료입원일당(요양제외,1일이상180일한도)"
일반상해80%이상후유장해시,kb,4,일반상해80%이상후유장해시
질병80%이상후유장해시,kb,4,질병80%이상후유장해시
암보장개시일(계약일로부터 그날을 포함하여 90일이 지난날의 다음날) 이후에,kb,4,암보장개시일(계약일로부터 그날을 포함하여 90일이 지난날의 다음날) 이후에
뇌졸중으로 진단확정된 경우,kb,4,뇌졸중으로 진단확정된 경우
급성심근경색증으로 진단확정된 경우,kb,4,급성심근경색증으로 진단확정된 경우
말기폐질환으로 진단확정된 경우,kb,4,말기폐질환으로 진단확정된 경우
말기간경화로 진단확정된 경우,kb,4,말기간경화로 진단확정된 경우
말기신부전증으로 진단확정된 경우,kb,4,말기신부전증으로 진단확정된 경우
