coverage_name_raw,insurer,source_page,coverage_code,coverage_name_canonical,mapping_status,match_type
상해후유장해(3~100%),lotte,2,A3300_1,상해후유장해(3-100%),matched,alias
상해사망,lotte,2,A1300,상해사망,matched,normalized_alias
질병사망,lotte,2,A1100,질병사망,matched,normalized_alias
일반암진단비Ⅱ,lotte,2,A4200_1,암진단비(유사암제외),matched,alias
갑상선암·기타피부암·유사암진단비,lotte,2,A4210,유사암진단비,matched,alias
재진단암진단비,lotte,2,A4299_1,재진단암진단비,matched,normalized
고액치료비암진단비,lotte,2,A4209,고액암진단비,matched,normalized_alias
일반암수술비(1회한),lotte,2,,,unmatched,none
갑상선암·기타피부암·유사암수술비(매회),lotte,2,A5298_001,유사암수술비,matched,alias
항암방사선치료비,lotte,2,A9617_1,항암방사선약물치료비(최초1회한),matched,normalized_alias
항암약물치료비,lotte,2,A9617_1,항암방사선약물치료비(최초1회한),matched,normalized_alias
카티(CAR-T)항암약물허가치료비(1회한)(갱신형),lotte,2,A9620_1,카티(CAR-T)항암약물허가치료비,matched,alias
암직접입원비(요양병원제외)(1일-120일),lotte,2,,,unmatched,none
뇌혈관질환진단비,lotte,2,A4101,뇌혈관질환진단비,matched,normalized_alias
뇌졸중진단비,lotte,2,A4103,뇌졸중진단비,matched,normalized_alias
뇌출혈진단비,lotte,2,A4102,뇌출혈진단비,matched,normalized_alias
뇌경색증(I63),lotte,2,,,unmatched,none
허혈성심장질환진단비,lotte,2,A4105,허혈성심장질환진단비,matched,normalized
급성심근경색증(I21),lotte,2,,,unmatched,none
뇌혈관질환수술비,lotte,2,A5104_1,뇌혈관질환수술비,matched,normalized_alias
허혈심장질환수술비,lotte,2,A5107_1,허혈성심장질환수술비,matched,normalized_alias
상해입원수술비(당일입원제외),lotte,2,A5300,상해수술비,matched,alias
상해통원수술비(당일입원포함),lotte,2,A5300,상해수술비,matched,alias
질병입원수술비(당일입원제외),lotte,2,A5100,질병수술비,matched,alias
"다빈치로봇암수술비(갑상선암및전립선암제외)(최초1회
한)(갱신형)",lotte,2,A9630_1,다빈치로봇암수술비,matched,normalized_alias
"다빈치로봇갑상선암및전립선암수술비(최초1회한)(갱신
형)",lotte,2,A9630_1,다빈치로봇암수술비,matched,normalized_alias
"표적항암약물허가치료비(유방암및비뇨생식기암)(1회
한)(갱신형)",lotte,2,A9619_1,표적항암약물허가치료비(최초1회한),matched,normalized_alias
"표적항암약물허가치료비(3대주요기관암)(1회한)(갱신
형)",lotte,2,A9619_1,표적항암약물허가치료비(최초1회한),matched,normalized_alias
"표적항암약물허가치료비(림프종및백혈병관련암)(1회
한)(갱신형)",lotte,2,A9619_1,표적항암약물허가치료비(최초1회한),matched,normalized_alias
"표적항암약물허가치료비(13대특정암,갑상선암및기타피
부암)(1회한)(갱신형)",lotte,2,A9619_1,표적항암약물허가치료비(최초1회한),matched,normalized_alias
뇌경색증(I63) 혈전용해치료비,lotte,2,,,unmatched,none
급성심근경색증(I21) 혈전용해치료비,lotte,2,,,unmatched,none
질병통원수술비(당일입원포함),lotte,3,A5100,질병수술비,matched,alias
상해입원비(1일-180일),lotte,3,,,unmatched,none
질병입원비(1일-180일),lotte,3,A6100_1,질병입원비,matched,alias
골절진단비(치아파절제외),lotte,3,A4301_1,골절진단비(치아파절제외),matched,exact
화상진단비,lotte,3,A4302,화상진단비,matched,normalized_alias
