coverage_name_raw
1. 상해사망·후유장해(20-100%)
10. 유사암진단비Ⅱ(1년감액지급)
11. 고액치료비암진단비
12. 암수술비(유사암제외)(최초1회한)
13. 유사암수술비
"14. 다빈치로봇암수술비(연간1회한,특정암)"
"15. 다빈치로봇암수술비(연간1회한,특정암제외)"
16. 표적항암약물허가치료비(최초1회한)(갱신형)
17. 항암방사선약물치료비(유사암포함)
18. 암직접치료입원일당Ⅱ(요양병원제외)(1일이상180일한도)
19. 뇌졸중진단비
20. 뇌출혈진단비
21. 뇌혈관질환진단비
22. 뇌혈관질환수술비
23. 허혈심장질환진단비
24. 심근병증진단비
25. 주요심장염증질환진단비
26. 심장판막협착증진단비(대동맥판막)
27. 허혈심장질환수술비
28. 혈전용해치료비Ⅲ(최초1회한)
29. 질병수술비(매회지급)
3. 상해사망
30. 상해입원일당(1일이상180일한도)
31. 질병입원일당(1일이상180일한도)
4. 상해후유장해(3-100%)
5. 질병사망
6. 상해수술비(동일사고당1회지급)
7. 골절진단비(치아제외)
"8. 계속받는암진단비(유사암,대장점막내암및전립선암제외)"
9. 암진단비Ⅱ(유사암제외)
