coverage_name_raw,insurer,source_page
기본계약(상해사망),hyundai,2
기본계약(상해후유장해),hyundai,2
보험료납입면제대상담보,hyundai,2
골절진단(치아파절제외)담보,hyundai,2
화상진단담보,hyundai,2
상해입원일당(1-180일)담보,hyundai,2
상해수술담보,hyundai,2
질병사망담보,hyundai,2
암진단Ⅱ(유사암제외)담보,hyundai,2
유사암진단Ⅱ담보,hyundai,2
고액치료비암진단담보,hyundai,2
재진단암진단Ⅱ담보,hyundai,2
뇌출혈진단담보,hyundai,2
뇌졸중진단담보,hyundai,2
뇌혈관질환진단담보,hyundai,2
허혈심장질환진단담보,hyundai,2
"심혈관질환(특정Ⅰ,I49제외)진단담보",hyundai,2
심혈관질환(I49)진단담보,hyundai,2
심혈관질환(주요심장염증)진단담보,hyundai,2
심혈관질환(특정Ⅱ)진단담보,hyundai,2
심혈관질환(특정2대)진단담보,hyundai,2
심혈관질환(대동맥판막협착증)진단담보,hyundai,2
심혈관질환(심근병증)진단담보,hyundai,2
항암약물치료Ⅱ담보,hyundai,2
항암방사선치료Ⅱ담보,hyundai,2
표적항암약물허가치료(갱신형)담보,hyundai,2
카티(CAR-T)항암약물허가치료(연간1회한)(갱신형)담보,hyundai,2
질병입원일당(1-180일)담보,hyundai,3
"암직접치료입원일당(1-180일,요양병원제외)담보",hyundai,3
질병수술담보,hyundai,3
암수술담보,hyundai,3
뇌혈관질환수술담보,hyundai,3
허혈심장질환수술담보,hyundai,3
혈전용해치료비Ⅱ(최초1회한)(뇌졸중)담보,hyundai,3
혈전용해치료비Ⅱ(최초1회한)(특정심장질환)담보,hyundai,3
로봇암수술(다빈치및레보아이)(갑상선암및전립선암제외)(최초1회한)(갱신형)담보,hyundai,7
로봇암수술(다빈치및레보아이)(갑상선암및전립선암)(최초1회한)(갱신형)담보,hyundai,7
