coverage_name_raw
1. 기본계약(상해사망)
10. 유사암진단Ⅱ담보
11. 고액치료비암진단담보
12. 재진단암진단Ⅱ담보
13. 뇌출혈진단담보
14. 뇌졸중진단담보
15. 뇌혈관질환진단담보
16. 허혈심장질환진단담보
"17. 심혈관질환(특정Ⅰ,I49제외)진단담보"
18. 심혈관질환(I49)진단담보
19. 심혈관질환(주요심장염증)진단담보
2. 기본계약(상해후유장해)
20. 심혈관질환(특정Ⅱ)진단담보
21. 심혈관질환(특정2대)진단담보
22. 심혈관질환(대동맥판막협착증)진단담보
23. 심혈관질환(심근병증)진단담보
24. 항암약물치료Ⅱ담보
25. 항암방사선치료Ⅱ담보
26. 표적항암약물허가치료(갱신형)담보
27. 카티(CAR-T)항암약물허가치료(연간1회한)(갱신형)담보
28. 질병입원일당(1-180일)담보
"29. 암직접치료입원일당(1-180일,요양병원제외)담보"
30. 질병수술담보
33. 암수술담보
34. 뇌혈관질환수술담보
35. 허혈심장질환수술담보
36. 혈전용해치료비Ⅱ(최초1회한)(뇌졸중)담보
37. 혈전용해치료비Ⅱ(최초1회한)(특정심장질환)담보
4. 골절진단(치아파절제외)담보
5. 화상진단담보
6. 상해입원일당(1-180일)담보
7. 상해수술담보
8. 질병사망담보
9. 암진단Ⅱ(유사암제외)담보
"로봇암수술(다빈치및레보아이
)(갑상선암및전립선암)(최초
1회한)(갱신형)담보"
"로봇암수술(다빈치및레보아이
)(갑상선암및전립선암제외)(최
초1회한)(갱신형)담보"
