coverage_name_raw,top_hits,suggested_canonical_code
보험료납입면제대상담보,"약관/p19: 3-7 6대인공관절치환수술(연간1회한)보장 특별약관 / 6대인공관절치환수술(연간1회한)
[맞춤고지Ⅱ]보장 특별약관·····································...",
유사암진단Ⅱ담보,"약관/p8: 2-9 암진단Ⅱ(유사암제외)(갱신형)보장 특별약관 / 암진단Ⅱ(유사암제외)[맞춤고지Ⅱ]
(갱신형)보장 특별약관·······································...",
"심혈관질환(특정Ⅰ,I49제외)진단담보","약관/p9: 심장질환진단[맞춤고지Ⅱ]보장 특별약관 / 허혈심장질환진단[맞춤고지Ⅱ](갱신형)보장 특별약
관·················································...",
심혈관질환(I49)진단담보,"약관/p9: (갱신형)보장 특별약관 / 심혈관질환(특정Ⅰ,I49제외)진단[맞춤고지Ⅱ]보장 특별약관 / 심혈
관질환(특정Ⅰ,I49제외)진단[맞춤고지Ⅱ](갱신형)보장 특별약관············...",
심혈관질환(주요심장염증)진단담보,"약관/p9: 심혈관질환(I49)진단[맞춤고지Ⅱ]보장 특별약관 / 심혈관질환(I49)진단[맞춤고지Ⅱ](갱신형)
보장 특별약관·······································...",
심혈관질환(특정2대)진단담보,"약관/p9: 약관 / 심혈관질환(특정Ⅱ)진단[맞춤고지Ⅱ]보장 특별약관 / 심혈관질환(특정Ⅱ)진단[맞춤고
지Ⅱ](갱신형)보장 특별약관··································...",
심혈관질환(대동맥판막협착증)진단담보,"약관/p9: 2-39 뇌동맥류(비파열성)진단보장 특별약관 / 뇌동맥류(비파열성)진단[맞춤고지Ⅱ]보장 
특별약관··············································...",
심혈관질환(심근병증)진단담보,"약관/p9: 2-40 심혈관질환(대동맥판막협착증)진단보장 특별약관 /  심혈관질환(대동맥판막협착증)
진단[맞춤고지Ⅱ]보장 특별약관···································...",
항암약물치료Ⅱ담보,"약관/p10: 특별약관 / 항암방사선치료(상급종합병원(국립암센터포함))(치료당,진단후10년)[맞춤고지Ⅱ]
(갱신형)보장 특별약관·····································...",
질병입원일당(1-180일)담보,"약관/p14: 비(연간1회한)[맞춤고지Ⅱ]보장 특별약관 / 상급종합병원심뇌혈관질환주요치료비(연간1회한)
[맞춤고지Ⅱ](갱신형)보장 특별약관·······························...",
혈전용해치료비Ⅱ(최초1회한)(특정심장질환)담보,,
로봇암수술(다빈치및레보아이)(갑상선암및전립선암)(최초1회한)(갱신형)담보,,
