coverage_name_raw,top_hits,suggested_canonical_code
일반상해후유장해(20~100%)(기본),,
보험료납입면제대상보장(8대기본),"약관/p3: 특별약관
제1장 의무부가 관련 특별약관
1. 보험료 납입면제대상보장(8대기본) ···············································108
제2장 상...",
심장질환(특정Ⅰ),"약관/p7: 143. 허혈성심장질환진단비·······························································398
143-1. 허혈성심장질환진단비【...",
심장질환(특정Ⅱ),"약관/p7: 143. 허혈성심장질환진단비·······························································398
143-1. 허혈성심장질환진단비【...",
부정맥질환(Ⅰ49)진단비,,
다빈치로봇,"약관/p6: 103. 독감(인플루엔자) 항바이러스제 치료비(연간1회한)
(10일면책)【갱신계약】······················································...",
표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ(갱신형),,
표적항암약물허가치료비(림프종·백혈병,"약관/p7: 표적항암약물허가치료비(3대특정암)
(최초1회한)Ⅱ【갱신계약】················································401
146-2. 표적항암약물허가...",
특정항암호르몬약물허가치료비(최초1회한)Ⅱ(갱신형),,
카티(CAR-T)항암약물허가치료비(연간1회한)(갱신형),,
혈전용해치료비Ⅱ(최초1회한)(특정심장질환),"약관/p191: 이 특별약관은 아래의 총 2개의 세부보장으로 구성되어 있습니다.
· 혈전용해치료비Ⅱ(최초1회한)(뇌졸중) 보장
· 혈전용해치료비Ⅱ(최초1회한)(특정심장질환) 보장
제2조(보험금의 ...",
혈전용해치료비Ⅱ(최초1회한)(뇌졸중),"약관/p191: 제1조(보장의 범위)
이 특별약관은 아래의 총 2개의 세부보장으로 구성되어 있습니다.
· 혈전용해치료비Ⅱ(최초1회한)(뇌졸중) 보장
· 혈전용해치료비Ⅱ(최초1회한)(특정심장질환) ...",
일반상해80%이상후유장해시,,
질병80%이상후유장해시,,
암보장개시일(계약일로부터 그날을 포함하여 90일이 지난날의 다음날) 이후에,,
뇌졸중으로 진단확정된 경우,"약관/p273: 의 납입을 연체하여 해지된 계약의 부활(효력회복))를 따릅니다. 
제1항에 따라 해지된 특별약관을 부활(효력회복)하는 경우에 이 특별약관이 해지
되기 전에 ""첫 번째 뇌졸중Ⅱ"" ...",
급성심근경색증으로 진단확정된 경우,"상품요약서/p62: 】
급성심근경색증진단비
급성심근경색증으로 진단 확정된 경우년 미만 
지급
(1...",
말기폐질환으로 진단확정된 경우,"약관/p209: 28. 말기폐질환진단비
제1조(보험금의 지급사유)
회사는 피보험자가 이 특별약관의 보험기간 중에 말기폐질환으로 진단확정된 경우에
는 최초 1회의 진단에 한하여 아래에 정한 금액을 ...",
말기간경화로 진단확정된 경우,"약관/p210: 29. 말기간경화진단비
제1조(보험금의 지급사유)
회사는 피보험자가 이 특별약관의 보험기간 중에 말기간경화로 진단확정된 경우에는 
최초 1회의 진단에 한하여 아래에 정한 금액을 말...",
말기신부전증으로 진단확정된 경우,"약관/p211: 30. 말기신부전증진단비
제1조(보험금의 지급사유)
회사는 피보험자가 이 특별약관의 보험기간 중 말기신부전증으로 진단확정된 경우에
는 최초 1회의 진단에 한하여 아래에 정한 금액을...",
