coverage_name_raw,insurer,source_page,coverage_code,coverage_name_canonical,mapping_status,match_type
일반상해80%이상후유장해[기본계약],meritz,3,,,unmatched,none
일반상해사망,meritz,3,A1300,상해사망,matched,normalized_alias
질병사망,meritz,3,A1100,질병사망,matched,normalized_alias
일반상해후유장해(3~100%),meritz,3,A3300_1,상해후유장해(3-100%),matched,alias
암진단비(유사암제외),meritz,3,A4200_1,암진단비(유사암제외),matched,exact
유사암진단비,meritz,3,A4210,유사암진단비,matched,normalized
5대고액치료비암진단비,meritz,3,A4209,고액암진단비,matched,normalized_alias
재진단암진단비(1년대기형),meritz,3,,,unmatched,none
뇌혈관질환진단비,meritz,3,A4101,뇌혈관질환진단비,matched,normalized_alias
뇌졸중진단비,meritz,3,A4103,뇌졸중진단비,matched,normalized_alias
뇌출혈진단비,meritz,3,A4102,뇌출혈진단비,matched,normalized_alias
허혈성심장질환진단비,meritz,3,A4105,허혈성심장질환진단비,matched,normalized
(20년갱신)갱신형중증질환자(뇌혈관질환) 산정특례대상진단비(연간1회한),meritz,3,,,unmatched,none
(20년갱신)갱신형중증질환자(심장질환) 산정특례대상진단비(연간1회한),meritz,3,,,unmatched,none
암직접치료입원일당(Ⅱ)(요양병원제외, 1일이상),meritz,,,unmatched,none
일반상해입원일당(1일이상),meritz,3,A6300_1,상해입원비,matched,alias
질병입원일당(1일이상),meritz,3,A6100_1,질병입원비,matched,alias
일반상해중환자실입원일당(1일이상),meritz,3,,,unmatched,none
암수술비(유사암제외),meritz,3,A5200,암수술비(유사암제외),matched,exact
유사암수술비,meritz,3,A5298_001,유사암수술비,matched,normalized_alias
뇌혈관질환수술비,meritz,3,A5104_1,뇌혈관질환수술비,matched,normalized_alias
허혈성심장질환수술비,meritz,3,A5107_1,허혈성심장질환수술비,matched,normalized
상해수술비,meritz,3,A5300,상해수술비,matched,normalized
질병수술비,meritz,4,A5100,질병수술비,matched,normalized
(10년갱신)갱신형다빈치로봇암수술비(암(특정암제외)),meritz,4,,,unmatched,none
(10년갱신)갱신형다빈치로봇암수술비(특정암),meritz,4,,,unmatched,none
골절(치아파절제외)진단비Ⅱ,meritz,4,A4301_1,골절진단비(치아파절제외),matched,alias
신화상치료비(화상수술비),meritz,4,,,unmatched,none
신화상치료비(화상진단비),meritz,4,,,unmatched,none
신화상치료비(중증화상및부식진단비),meritz,4,,,unmatched,none
항암방사선약물치료비,meritz,4,A9617_1,항암방사선약물치료비(최초1회한),matched,normalized_alias
혈전용해치료비Ⅱ(뇌졸중),meritz,4,A9640_1,혈전용해치료비,matched,alias
혈전용해치료비Ⅱ(특정심장질환),meritz,4,A9640_1,혈전용해치료비,matched,alias
(10년갱신)갱신형표적항암약물허가치료비Ⅱ,meritz,4,,,unmatched,none
