coverage_name_raw,insurer,source_page,coverage_name_search_key
기타피부암 수술비,samsung,3,기타피부암 수술비
제자리암 수술비,samsung,3,제자리암 수술비
경계성종양 수술비,samsung,3,경계성종양 수술비
갑상선암 수술비,samsung,3,갑상선암 수술비
대장점막내암 수술비,samsung,3,대장점막내암 수술비
[갱신형] 암(특정암 제외) 다빈치로봇 수술비(1년 감액),samsung,3,[갱신형] 암(특정암 제외) 다빈치로봇 수술비(1년 감액)
[갱신형] 특정암 다빈치로봇 수술비(1년 감액),samsung,3,[갱신형] 특정암 다빈치로봇 수술비(1년 감액)
2대주요기관질병 관혈수술비Ⅱ(1년50%),samsung,3,2대주요기관질병 관혈수술비Ⅱ(1년50%)
2대주요기관질병 비관혈수술비Ⅱ(1년50%),samsung,3,2대주요기관질병 비관혈수술비Ⅱ(1년50%)
상해 후유장해(3~100%),samsung,3,상해 후유장해(3~100%)
상해 사망,samsung,3,상해 사망
질병 사망,samsung,3,질병 사망
"상해 후유장해
(3~100%)",samsung,4,상해 후유장해(3~100%)
"유사암 진단비(기타피부
암)(1년50%)",samsung,5,유사암 진단비(기타피부암)(1년50%)
"유사암 진단비(갑상선
암)(1년50%)",samsung,5,유사암 진단비(갑상선암)(1년50%)
"유사암 진단비(대장점막
내암)(1년50%)",samsung,5,유사암 진단비(대장점막내암)(1년50%)
"유사암 진단비(제자리
암)(1년50%)",samsung,5,유사암 진단비(제자리암)(1년50%)
"유사암 진단비(경계성종
양)(1년50%)",samsung,5,유사암 진단비(경계성종양)(1년50%)
"신재진단암(기타피부암
및 갑상선암 포함) 진단비
(1년주기,5회한)",samsung,5,"신재진단암(기타피부암및 갑상선암 포함) 진단비(1년주기,5회한)"
"항암방사선·약물 치료비
Ⅲ(암(기타피부암 및 갑상
선암 제외))",samsung,5,항암방사선·약물 치료비Ⅲ(암(기타피부암 및 갑상선암 제외))
"항암방사선·약물 치료비
Ⅲ(기타피부암 및 갑상선
암)",samsung,5,항암방사선·약물 치료비Ⅲ(기타피부암 및 갑상선암)
"[갱신형] 표적항암약물허
가 치료비(1년50%)",samsung,5,[갱신형] 표적항암약물허가 치료비(1년50%)
뇌출혈 진단비,samsung,5,뇌출혈 진단비
뇌졸중 진단비(1년50%),samsung,5,뇌졸중 진단비(1년50%)
"허혈성심장질환 진단비(1
년50%)",samsung,6,허혈성심장질환 진단비(1년50%)
"기타 심장부정맥 진단비
(1년50%)",samsung,6,기타 심장부정맥 진단비(1년50%)
"특정3대심장질환 진단비
(1년50%)",samsung,6,특정3대심장질환 진단비(1년50%)
"혈전용해 치료비(뇌경색
증)",samsung,6,혈전용해 치료비(뇌경색증)
"혈전용해 치료비(급성심
근경색증)",samsung,6,혈전용해 치료비(급성심근경색증)
상해 입원일당(1일이상),samsung,6,상해 입원일당(1일이상)
질병 입원일당(1일이상),samsung,6,질병 입원일당(1일이상)
"암 직접치료 입원일당Ⅱ
(1일이상)(요양병원 제
외)",samsung,6,암 직접치료 입원일당Ⅱ(1일이상)(요양병원 제외)
"상해 입원 수술비(당일입
원 제외)",samsung,6,상해 입원 수술비(당일입원 제외)
"상해 통원 수술비(외래 및
당일입원)",samsung,6,상해 통원 수술비(외래 및당일입원)
"질병 입원 수술비Ⅱ(당일
입원 제외)",samsung,6,질병 입원 수술비Ⅱ(당일입원 제외)
"질병 통원 수술비Ⅱ(외래
및 당일입원)",samsung,6,질병 통원 수술비Ⅱ(외래및 당일입원)
"[갱신형] 암(특정암 제외)
다빈치로봇 수술비(1년
감액)",samsung,7,[갱신형] 암(특정암 제외)다빈치로봇 수술비(1년감액)
"[갱신형] 특정암 다빈치로
봇 수술비(1년 감액)",samsung,7,[갱신형] 특정암 다빈치로봇 수술비(1년 감액)
"2대주요기관질병 관혈수
술비Ⅱ(1년50%)",samsung,7,2대주요기관질병 관혈수술비Ⅱ(1년50%)
"2대주요기관질병 비관혈
수술비Ⅱ(1년50%)",samsung,7,2대주요기관질병 비관혈수술비Ⅱ(1년50%)
"골절 진단비(치아파절(깨
짐, 부러짐) 제외)",samsung,7,"골절 진단비(치아파절(깨짐, 부러짐) 제외)"
화상 진단비,samsung,7,화상 진단비
