insurer_key,product_key,variant_key,coverage_name_raw,coverage_name_normalized,coverage_code_step2,coverage_code_step4,mapping_method,step2b_has_code,drop_reason,classification,note,auto_bucket,auto_reason,candidate_codes,priority,top_candidate_code,top_candidate_name,top_candidate_score,resolution_type,target_cre_cvr_cd,resolution_notes
db,db__무배당프로미라이프,default,1. 상해사망·후유장해(20-100%),상해사망·후유장해(20-100%),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:장해, ALIAS_KEYWORD:상해, ALIAS_KEYWORD:사망, ALIAS_KEYWORD:후유장해, STRONG_MATCH:score=0.84",A1300:상해사망:0.84 | A1300:상해사망:0.7 | A1300:상해사망:0.7 | A1300:상해사망:0.7 | A1300:상해사망:0.7,P0,A1300,상해사망,0.84,ALIAS_EXISTING,A1300,Auto-confirmed high confidence match (score >= 0.7)
db,db__무배당프로미라이프,default,1. 상해사망·후유장해(20-100%),상해사망·후유장해(20-100%),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:장해, ALIAS_KEYWORD:상해, ALIAS_KEYWORD:사망, ALIAS_KEYWORD:후유장해, STRONG_MATCH:score=0.84",A1300:상해사망:0.84 | A1300:상해사망:0.7 | A1300:상해사망:0.7 | A1300:상해사망:0.7 | A1300:상해사망:0.7,P0,A1300,상해사망,0.84,ALIAS_EXISTING,A1300,Auto-confirmed high confidence match (score >= 0.7)
hanwha,hanwha__한화더건강한한아름종합보험,default,상해후유장해(3-100%),상해후유장해(3-100%),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:장해, ALIAS_KEYWORD:상해, ALIAS_KEYWORD:후유장해, STRONG_MATCH:score=1.2",A3300_1:상해후유장해(3-100%):1.2 | A3300_1:상해후유장해(3-100%)(1804):1.2 | A3300_1:상해후유장해(3-100%):1.0 | A3300_1:상해후유장해(3-100%):1.0 | A3300_1:상해후유장해(3~100%):1.0,P0,A3300_1,상해후유장해(3-100%),1.2,ALIAS_EXISTING,A3300_1,Auto-confirmed high confidence match (score >= 0.7)
hanwha,hanwha__한화더건강한한아름종합보험,default,4대유사암진단비,4대유사암진단비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:암, ALIAS_KEYWORD:진단비, ALIAS_KEYWORD:유사암, STRONG_MATCH:score=1.2",A4210:4대유사암진단비(기타피부암):1.2 | A4210:4대유사암진단비(갑상선암):1.2 | A4210:4대유사암진단비(제자리암):1.2 | A4210:4대유사암진단비(경계성종양):1.2 | A4200_1:암진단비(유사암제외):0.84,P0,A4210,4대유사암진단비(기타피부암),1.2,ALIAS_EXISTING,A4210,Auto-confirmed high confidence match (score >= 0.7)
hanwha,hanwha__한화더건강한한아름종합보험,default,암(갑상선암및전립선암제외)다빈치로봇수술비(1회한)(갱신형),암(갑상선암및전립선암제외)다빈치로봇수술비(1회한)(갱신형),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:전립선암, ALIAS_KEYWORD:암, ALIAS_KEYWORD:갑상선암, ALIAS_KEYWORD:수술비, STRONG_MATCH:score=1.2","A9630_1:암(갑상선암및전립선암제외)다빈치로봇수술비(1회한)(건강고지Ⅱ,갱신형):1.2 | A9630_1:갑상선암및전립선암다빈치로봇수술비(1회한)(건강고지Ⅱ,갱신형):0.96 | A9630_1:[갱신형]암(특정암 제외) 다빈치로봇 수술비(1년 감액):1.0 | A9630_1:[갱신형]특정암 다빈치로봇 수술비(1년 감액):0.8",P0,A9630_1,"암(갑상선암및전립선암제외)다빈치로봇수술비(1회한)(건강고지Ⅱ,갱신형)",1.2,ALIAS_EXISTING,A9630_1,Auto-confirmed high confidence match (score >= 0.7)
hanwha,hanwha__한화더건강한한아름종합보험,default,"10. 질병사망 1,","질병사망 1,",,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:질병, ALIAS_KEYWORD:사망, STRONG_MATCH:score=0.84",A1100:질병사망:0.84 | A1100:질병사망:0.84 | A1100:질병사망:0.7 | A1100:질병사망:0.7 | A1100:질병사망:0.7,P0,A1100,질병사망,0.84,ALIAS_EXISTING,A1100,Auto-confirmed high confidence match (score >= 0.7)
heungkuk,heungkuk__무배당흥Good행복한파워종합보험,default,일반상해후유장해(80%이상),일반상해후유장해(80%이상),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:장해, ALIAS_KEYWORD:상해, ALIAS_KEYWORD:후유장해, STRONG_MATCH:score=1.2",A3300_1:일반상해후유장해(3~100%):1.2 | A3300_1:상해후유장해(3-100%):0.84 | A1300:일반상해사망:0.4 | A6300_1:일반상해입원비(1일-180일):0.343 | A3300_1:일반상해후유장해(3~100%):1.0,P0,A3300_1,일반상해후유장해(3~100%),1.2,ALIAS_EXISTING,A3300_1,Auto-confirmed high confidence match (score >= 0.7)
heungkuk,heungkuk__무배당흥Good행복한파워종합보험,default,[갱신형]표적항암약물허가치료비Ⅱ(갱신형_10년),[갱신형]표적항암약물허가치료비Ⅱ(갱신형_10년),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:암, ALIAS_KEYWORD:치료비, STRONG_MATCH:score=0.84",A9619_1:표적항암약물허가치료비(최초1회한):0.84 | A9619_1:표적항암약물허가치료비II(갱신형_10년):0.55 | A9619_1:갱신형표적항암약물허가치료비Ⅱ:0.8 | A9619_1:표적항암약물허가치료비(3대특정암 및 림프종·백혈병 관련암 제외)(최초1회한)Ⅱ【갱신계약】:0.8 | A9619_1:표적항암약물허가치료비(3대특정암)(최초1회한)Ⅱ【갱신계약】:0.8,P0,A9619_1,표적항암약물허가치료비(최초1회한),0.84,ALIAS_EXISTING,A9619_1,Auto-confirmed high confidence match (score >= 0.7)
lotte,lotte__무배당let:smile종합건강보험더끌림포우먼2506무해지형납입,default,일반암수술비(1회한),일반암수술비(1회한),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:일반암, ALIAS_KEYWORD:암, ALIAS_KEYWORD:수술비, STRONG_MATCH:score=1.2",A5200:일반암수술비(매회):1.2 | A5200:암수술비(유사암제외):0.84 | A4200_1:일반암진단비Ⅱ:0.3 | A5200:암수술비(유사암제외):0.7 | A5200:암수술비(유사암제외)(최초1회한):0.7,P0,A5200,일반암수술비(매회),1.2,ALIAS_EXISTING,A5200,Auto-confirmed high confidence match (score >= 0.7)
lotte,lotte__무배당let:smile종합건강보험더끌림포우먼2506무해지형납입,default,뇌경색증(I63) 혈전용해치료비,뇌경색증(I63) 혈전용해치료비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:치료비, ALIAS_KEYWORD:뇌, ALIAS_KEYWORD:뇌경색, STRONG_MATCH:score=1.2",A9640_1:뇌경색증 혈전용해치료비:1.2 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.7 | A9640_1:혈전용해치료비:0.7,P0,A9640_1,뇌경색증 혈전용해치료비,1.2,ALIAS_EXISTING,A9640_1,Auto-confirmed high confidence match (score >= 0.7)
lotte,lotte__무배당let:smile종합건강보험더끌림포우먼2506무해지형납입,default,허혈성심장질환진단비,허혈성심장질환진단비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:심장, ALIAS_KEYWORD:진단비, ALIAS_KEYWORD:허혈성, STRONG_MATCH:score=1.2",A4105:허혈성심장질환진단비:1.2 | A5107_1:허혈성심장질환수술비:0.42 | A4105:허혈성심장질환진단비:1.0 | A4105:허혈성심장질환진단비:1.0 | A4105:허혈성심장질환진단비:1.0,P0,A4105,허혈성심장질환진단비,1.2,ALIAS_EXISTING,A4105,Auto-confirmed high confidence match (score >= 0.7)
lotte,lotte__무배당let:smile종합건강보험더끌림포우먼2506무해지형납입,default,급성심근경색증(I21) 혈전용해치료비,급성심근경색증(I21) 혈전용해치료비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:심근경색, ALIAS_KEYWORD:치료비, STRONG_MATCH:score=1.2",A9640_1:급성심근경색증 혈전용해치료비:1.2 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.7 | A9640_1:혈전용해치료비:0.7,P0,A9640_1,급성심근경색증 혈전용해치료비,1.2,ALIAS_EXISTING,A9640_1,Auto-confirmed high confidence match (score >= 0.7)
lotte,lotte__무배당let:smile종합건강보험더끌림포맨2506무해지형납입면,default,일반암수술비(1회한),일반암수술비(1회한),,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:일반암, ALIAS_KEYWORD:암, ALIAS_KEYWORD:수술비, STRONG_MATCH:score=1.2",A5200:일반암수술비(매회):1.2 | A5200:암수술비(유사암제외):0.84 | A4200_1:일반암진단비Ⅱ:0.3 | A5200:암수술비(유사암제외):0.7 | A5200:암수술비(유사암제외)(최초1회한):0.7,P0,A5200,일반암수술비(매회),1.2,ALIAS_EXISTING,A5200,Auto-confirmed high confidence match (score >= 0.7)
lotte,lotte__무배당let:smile종합건강보험더끌림포맨2506무해지형납입면,default,뇌경색증(I63) 혈전용해치료비,뇌경색증(I63) 혈전용해치료비,,,unmapped,False,,A_MAPPING_GAP,No coverage_code in Step2-b canonical mapping,LIKELY_ALIAS,"ALIAS_KEYWORD:치료비, ALIAS_KEYWORD:뇌, ALIAS_KEYWORD:뇌경색, STRONG_MATCH:score=1.2",A9640_1:뇌경색증 혈전용해치료비:1.2 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.84 | A9640_1:혈전용해치료비:0.7 | A9640_1:혈전용해치료비:0.7,P0,A9640_1,뇌경색증 혈전용해치료비,1.2,ALIAS_EXISTING,A9640_1,Auto-confirmed high confidence match (score >= 0.7)
